starid,Teff,Prot,ref,source,source_id,ra,dec,angular_distance
KIC2018492,5112.000000,28.78,santos19,kepler,Gaia DR3 2051830332575103360,292.334267,37.460564,0.000015
KIC2018930,4944.000000,21.66,santos19,kepler,Gaia DR3 2051819921574463360,292.428776,37.465806,0.000145
KIC2019316,4664.000000,45.79,santos19,kepler,Gaia DR3 2051818650264172032,292.515957,37.405805,0.000106
KIC2019481,5096.000000,28.98,santos19,kepler,Gaia DR3 2051819440538228352,292.552838,37.464359,0.000095
KIC2020185,4397.000000,21.21,santos19,kepler,Gaia DR3 2051821570842126080,292.704462,37.459674,0.000019
KIC2020638,4418.000000,18.09,santos19,kepler,Gaia DR3 2051633416917919360,292.792584,37.414777,0.000107
KIC2020830,5066.000000,16.3,santos19,kepler,Gaia DR3 2051635066185382656,292.830099,37.464852,0.000009
KIC2021157,5176.000000,9.69,santos19,kepler,Gaia DR3 2051658259009408896,292.907310,37.498002,0.000003
KIC2021440,5150.000000,17.85,santos19,kepler,Gaia DR3 2051658048546306304,292.968452,37.488663,0.000027
KIC2140389,5066.000000,0.96,santos19,kepler,Gaia DR3 2099088304408273536,285.916404,37.594259,0.000022
KIC2140493,5142.000000,22.73,santos19,kepler,Gaia DR3 2099089747517301760,285.950284,37.593630,0.000011
KIC2140621,5062.000000,34.22,santos19,kepler,Gaia DR3 2099089060322561792,285.995220,37.596222,0.000108
KIC2140651,4786.000000,30.63,santos19,kepler,Gaia DR3 2099088648005681536,286.004621,37.553723,0.000047
KIC2140909,4270.000000,37.98,santos19,kepler,Gaia DR3 2099086105385109888,286.089722,37.593002,0.000131
KIC2141003,4919.000000,25.4,santos19,kepler,Gaia DR3 2099084799715020800,286.126066,37.502216,0.000125
KIC2141150,4831.000000,24.37,santos19,kepler,Gaia DR3 2099090950108265216,286.177593,37.583583,0.000090
KIC2141179,4953.000000,21.81,santos19,kepler,Gaia DR3 2099090984468006912,286.194378,37.572488,0.000010
KIC2141193,5125.000000,20.49,santos19,kepler,Gaia DR3 2099091087547239552,286.198659,37.597826,0.000009
