uid,SHK,SIndex,SIndexSigma,teff,subclass,source
G14082982845244,0.11700000000000002,0.19878386484514768,0.011278260372196265,6235.827,F7,Isaacson2024
G14079665566720,0.129,0.2036090416114193,0.013973095900734,6240.87,F7,Isaacson2024
G14081635104444,0.12,0.2627233295044662,0.007634394385789301,6248.047,F5,Isaacson2024
G14084761701865,0.121,0.2015902282077339,0.0133005481062691,6248.827,F6,Isaacson2024
G14073271882219,0.152,0.1904018840828525,0.0086658588927023,6250.543000000001,F6,Isaacson2024
G14074980908647,0.13,0.1959615229949526,0.018928961551546,6252.256,F8,Isaacson2024
G14081604809255,0.122,0.20152073200380835,0.011207789701925602,6252.937000000001,F5,Isaacson2024
G14084814041282,0.132,0.2126686239301301,0.0112379895620431,6272.64,F6,Isaacson2024
G14077959286038,0.118,0.1878535701293023,0.0087841735907388,6273.577,F7,Isaacson2024
L14077907834544,0.11500000000000002,0.19695826811588904,0.0055257464865381,6278.083,F6,Isaacson2024
G14058895024427,0.135,0.1933297610946953,0.0087139054997151,6280.48,F5,Isaacson2024
G14074969128585,0.117,0.2035882474241403,0.0075815332974747,6283.56,F7,Isaacson2024
G14078738463176,0.157,0.2268579028422282,0.0050934388766447495,6285.259999999999,F7,Isaacson2024
L14083827648348,0.113,0.1981373785914942,0.0116960586253036,6288.2,F5,Isaacson2024
G14081242563328,0.12300000000000004,0.20173042460891977,0.01471204719322855,6297.12,F6,Isaacson2024
G14064347771979,0.123,0.2365480239330079,0.0118994190976831,6305.39,F5,Isaacson2024
G14032132764007,0.111,0.19585478127914546,0.011047675106659601,6309.885,F5,Isaacson2024
G14082446538232,0.12,0.1925779663537905,0.0141219785927606,6310.23,F5,Isaacson2024
L14073938853943,0.097,0.2017477373118329,0.0089209176752025,6311.96,F5,Isaacson2024
G14087062807112,0.12599999999999997,0.2176749361725389,0.011504426031826649,6330.672,F5,Isaacson2024
G14061227964761,0.121,0.204491200964982,0.009593271102440475,6332.54,F7,Isaacson2024
G14082368331567,0.116,0.2011781879872577,0.0078333813603122,6344.09,F7,Isaacson2024
L14024968563590,0.121,0.2238067496190653,0.0086986252585103,6352.32,F5,Isaacson2024
G14073956913375,0.109,0.2009068180746691,0.0116785555434333,6360.32,F5,Isaacson2024
G14078511568191,0.143,0.21296406523656944,0.0064282406477653,6377.79,F5,Isaacson2024
G14076116556444,0.131,0.1993720256682614,0.006613225795145,6398.6,F6,Isaacson2024
G14087184784259,0.117,0.2275854071098272,0.009862205878453151,6421.437000000001,F5,Isaacson2024
G14076204247462,0.134,0.20140138539923735,0.00840609477137235,6424.627,F5,Isaacson2024
G14081875632336,0.111,0.2155125673893959,0.0130702714957314,6427.28,F5,Isaacson2024
G14072054138108,0.125,0.1862781904382532,0.0069259104274807,6436.02,F5,Isaacson2024
L14065374061433,0.131,0.2568862994784043,0.008168056322755201,6443.315,F4,Isaacson2024
G14029912800526,0.141,0.2329654229771935,0.0092886554735874,6444.775,F5,Isaacson2024
G14085514708711,0.13,0.2038556610954406,0.0059917367461763,6474.88,F5,Isaacson2024
G14082741062103,0.159,0.2260022437552448,0.0116169438542756,6493.97,F5,Isaacson2024
G14077459942317,0.11799999999999995,0.2257752465310571,0.008615315719982834,6630.138,F5,Isaacson2024
