starid,Prot,ref,source,source_id,Porb,eccentricity,semi_amplitude_primary,massfunc
KIC4859118,19.23,santos21,kepler,Gaia DR3 2073653233211224960,696.0314098025771,0.4047954926115317,,
KIC4918802,1.98,santos21,kepler,Gaia DR3 2101149682552719232,38.20385549802331,0.2190747273190603,12.550941620731964,0.0072695066534118145
KIC5080192,10.44,santos21,kepler,Gaia DR3 2103427561405815552,451.4077109936408,0.4778452798580056,,
KIC5080192,10.44,santos21,kepler,Gaia DR3 2103427561405815552,0.7130275262734944,0.3037760731386595,10.496009128774965,7.387813596775817e-05
KIC5098869,3.12,santos21,kepler,Gaia DR3 2053443350493345152,2.9312539876771475,0.0950624309871085,64.56406152316328,0.08063458097845355
KIC5108214,17.74,santos21,kepler,Gaia DR3 2076525844775760384,479.3723120899829,0.2407309955137563,,
KIC5166441,21.93,santos21,kepler,Gaia DR3 2103424018054899200,0.2989841184526827,0.0279606871182325,14.294530912738614,9.037690308203459e-05
KIC5185349,25.9,santos21,kepler,Gaia DR3 2053462213990181248,26.157980588086723,0.2431739043272879,24.505497188089578,0.036399536246978
KIC5303949,21.93,santos21,kepler,Gaia DR3 2073609046598624640,758.5319510513895,0.6195405844644544,,
KIC5349595,14.48,santos21,kepler,Gaia DR3 2100620233343084672,931.3608259079186,0.4350297188408226,,
KIC5380980,30.84,santos21,kepler,Gaia DR3 2076742517284901504,543.891923853597,0.3643453923072628,,
KIC5391520,1.99,santos21,kepler,Gaia DR3 2073598085842244096,1.5132586268301904,0.3449235403774117,15.682387867023854,0.0005000843008936995
KIC5394435,16.08,santos21,kepler,Gaia DR3 2075052774080320128,12.614935576795409,0.0130168913237417,36.4083865056845,0.06306494970757888
KIC5450347,9.42,santos21,kepler,Gaia DR3 2053521381458580608,9.96416673404345,0.2707019054398754,26.04085509425077,0.01626443406309785
KIC5512406,19.23,santos21,kepler,Gaia DR3 2103675088959839360,478.33061687767537,0.2111626646321562,,
KIC5516982,24.51,santos21,kepler,Gaia DR3 2100777463504599936,24.116369641803228,0.4228433750409937,11.288569102408744,0.002674939097039799
KIC5522313,40.42,santos21,kepler,Gaia DR3 2102086187282521088,696.3263751035946,0.5070920100452915,,
KIC5524851,6.85,santos21,kepler,Gaia DR3 2101333090533552256,479.4651322274161,0.2989580381371102,19.23591110047043,0.307265022139612
KIC5529385,17.48,santos21,kepler,Gaia DR3 2101205207890925568,252.2117877399332,0.240175756991215,,
KIC5560161,8.97,santos21,kepler,Gaia DR3 2073784105147547520,9.152567204448737,0.2491845528737042,11.85450793435758,0.0014349683929042723
KIC5645796,6.94,santos21,kepler,Gaia DR3 2073796066645145344,482.11973644403247,0.2769027723693853,,
KIC5683727,26.3,santos21,kepler,Gaia DR3 2104353487633484800,624.6059699428066,0.241604742706028,,
KIC5696625,10.56,santos21,kepler,Gaia DR3 2101350480864569600,611.3509006006599,0.2760472170146105,,
KIC5699681,30.19,santos21,kepler,Gaia DR3 2101394667487033472,565.8640826377134,0.3912652238048555,,
KIC5706320,9.6,santos21,kepler,Gaia DR3 2053591093066042496,273.11002914213026,0.2664701209506273,,
KIC5772278,34.7,santos21,kepler,Gaia DR3 2103839014974080640,565.5420492645229,0.4239037555731458,,
KIC5814512,5.65,santos21,kepler,Gaia DR3 2073864270727630720,222.54315276369223,0.4171439791826435,,
