uid,SHK,SIndex,SIndexSigma,teff,subclass,source
L16630163412411,0.16275,0.1957644534087755,0.0047770483976283,5715.4,G6,Isaacson2010
L15151792862554,0.14775,0.1961300723327825,0.0168829179475351,5719.16,F9,Isaacson2010
L14499246254408,0.1666,0.2174209985199734,0.0159108337837748,5721.45,G0,GomesDaSilva2021
G14059514482632,0.14,0.1942577950367266,0.0066710499562707,5728.16,G4,Isaacson2024
L14078564280074,0.119,0.1767736914856021,0.0103673118518702,5732.53,F9,Isaacson2024
G14085515407012,0.136,0.1887221554160639,0.0030778343963058,5736.33,G2,Isaacson2024
G14033502643005,0.252,0.2326200829815081,0.0080084919626928,5736.93,F9,Isaacson2024
G14085913923300,0.146,0.182856025898453,0.0069289908779958,5736.99,F9,Isaacson2024
L16393887751378,0.15046666666675002,0.1890003882033996,0.011520667992775,5740.57,G3,Isaacson2010
G14067027944335,0.146,0.1897011946461557,0.0043651773497046,5747.91,G3,Isaacson2024
G13319412744855,0.1608333333335,0.1879147078177154,0.001298669639788,5747.95,G3,Isaacson2010
G14031571596344,0.1369999999999999,0.1927522147586184,0.010058877781094001,5748.753,F9,Isaacson2024
G14084954620023,0.34,0.23840691833098765,0.0101101812721611,5754.505,F9,Isaacson2024
L14073134111794,0.22900000000000004,0.2014399497404156,0.00838235880548985,5757.13,G3,Isaacson2024
L14676006073348,0.17474999999999996,0.183280292015516,0.0093311629764033,5757.863,F9,Isaacson2010
P15007142039184,0.17362499999999997,0.194250360856617,0.0020059363227601,5759.22,F9,Isaacson2010
G14059520766923,0.14,0.1820860481692911,0.0061885839500943,5761.86,F9,Isaacson2024
L15572402568610,0.37699999999999995,0.23803194543697184,0.0029136779282736996,5763.793000000001,G3,Isaacson2010
L15059715553924,0.149,0.1941591356325008,0.003998540656279101,5766.57,F9,Isaacson2010
G14086192356766,0.172,0.2165428470905672,0.0082794735801651,5767.15,G4,Isaacson2024
G14081882199296,0.19900000000000004,0.1938675041210366,0.004362908707680599,5771.797,G3,Isaacson2024
G14027650224675,0.141,0.1836794540061798,0.0061127501332528,5783.76,G3,Isaacson2024
L14064801521016,0.091,0.2006209548793586,0.006238023064579349,5785.64,G3,Isaacson2024
L14082627094937,0.14,0.1922727878750517,0.0083502302522756,5794.53,G2,Isaacson2024
L14991846084184,0.33725000000000005,0.23691520487908718,0.00310458386162035,5794.74,G3,Isaacson2010
G14064395118296,0.15,0.1796634002861139,0.0054669913214797,5800.24,G1,Isaacson2024
G14087281632808,0.142,0.219174564469977,0.0076929076161813,5814.605,G2,Isaacson2024
G14081722375872,0.148,0.188107710819617,0.007358228120084,5826.08,G2,Isaacson2024
L16686245447602,0.310375,0.2397116593332872,0.0040088887638974,5826.21,G3,Isaacson2010
L14076108373733,0.141,0.20812612735711822,0.011332196940110435,5829.933,G2,Isaacson2024
G14087446786556,0.248,0.23171543782475473,0.00485755127405645,5831.735,F9,Isaacson2024
G14081265426431,0.145,0.21443650719727064,0.00876753961953214,5836.778,G2,Isaacson2024
G14025156147331,0.299,0.23165777914162017,0.007393779819827501,5840.26,G3,Isaacson2024
G14030954998302,0.157,0.21819481972772695,0.0063127736229159,5842.265,G3,Isaacson2024
G14077805754164,0.149,0.20881105750793374,0.00824208985057775,5843.336,G1,Isaacson2024
L17557420723423,0.145,0.199545497248313,0.0029852033272676,5850.21,F9,Isaacson2010
G14081676341262,0.139,0.15679689839386088,0.005153301258867899,5858.245,G2,Isaacson2024
L15028367635130,0.13700000000000018,0.20675572883543986,0.005057091492596361,5861.306,F9,Isaacson2010
L14080930504035,0.133,0.17704747346148064,0.0086566727296499,5861.88,G2,Isaacson2024
L16385518025141,0.14783333333350002,0.20152233942075196,0.00222251538729165,5863.905,G3,Isaacson2010
G14087108859256,0.138,0.18839646507694163,0.00223846173876205,5868.329999999999,G3,Isaacson2024
L14077565409926,0.188,0.2225508096977686,0.0111827950966606,5870.38,G3,Isaacson2024
L14082255059605,0.139,0.1882940777118553,0.0120431993858245,5872.53,G3,Isaacson2024
L16656246455525,0.337,0.2393528198474729,0.0010527824310331,5874.11,G3,Isaacson2010
L14059105342972,0.126,0.1934577133928643,0.0053687735689871,5879.75,G3,Isaacson2024
G14028036898088,0.145,0.19664347094640283,0.00272623678099335,5883.43,G3,Isaacson2024
G14078574488993,0.135,0.2054652700229098,0.0038944861855419,5888.0,G3,Isaacson2024
G14028773979853,0.147,0.2050975030800118,0.0038509802299712,5899.6,G1,Isaacson2024
G14030018855197,0.163,0.220536973546516,0.0039094895029955,5899.76,G3,Isaacson2024
G14058765404159,0.08899999999999998,0.18497216260171082,0.0103591435738987,5906.02,G2,Isaacson2024
L16442793476115,0.151,0.1870768293759623,0.0011609081985249,5910.32,G2,Isaacson2010
