uid,CaIIHK_snr,SIndex,SIndexSigma,SIndexOri,SIndexOriSigma,source_id,ra,dec,type,period,eccentricity,K1,mass_ratio,f1,f1err,f2,f2err,inclination,teff,teff_err,logg,logg_err,feh,feh_err,logrRprimehk,logrRprimehkerr,logrRprimehkerrUniform,w3mag,w3magerr,kmag,kmagerr,Gmag,BpRp,iso_mass,iso_mass_err,iso_rad,iso_rad_err,iso_lum,iso_lum_err
G10034681054870,26.829927,0.380105,0.06695,0.242616,0.013046,Gaia DR3 3075029664327014528,131.72265,-0.000741,SB1,5.533906450245203,0.0958362368029122,20.727084602412667,,,,,,,5586.455,28.41,4.114,0.039,0.073,0.025,-4.40484,0.10823,,10.443,0.091,10.58,0.023,12.121548,0.9023142,0.9791880500094968,0.0197037575738314,1.4213359113428738,0.0762931540092903,1.7680027604827515,0.191837152571381
G10034940748820,42.109025,0.038251,0.039283,0.176004,0.007655,Gaia DR3 3074842923445137408,130.887109,-0.955699,SB1,759.8707062300901,0.435605467421373,6.982048737787175,,,,,,,,,,,,,,,,9.672,0.054,9.684,0.019,11.659502,1.0602741,1.3793310463647417,0.1717987070159509,7.476710925516479,0.7415561922485123,32.90697043696626,6.963699673207374
G10035130047905,26.297037,0.163595,0.062215,0.200428,0.012123,Gaia DR3 3073353806744010240,130.38682,-0.989576,SB1,23.399857617673483,0.3561437416451578,35.63800873856708,,,,,,,5336.6,30.987,3.862,0.044,0.389,0.03,-5.04196,,,10.494,0.082,10.577,0.023,12.282164,0.9886131,1.2434438620852115,0.0718364187399281,2.1076239331264395,0.1464331279269363,3.232785633304605,0.4549144750094409
G10035162141768,32.546017,-0.081022,0.049083,0.152763,0.009564,Gaia DR3 3074857354535275520,130.60746,-0.825793,SB1,851.3250069823666,0.0283407202179249,6.83431692246676,,,,,,,,,,,,,,,,8.83,0.03,8.96,0.019,11.172887,1.2248249,2.1624698543545464,0.2735065613086377,11.27012082446828,1.2319129156645443,66.23305316482534,15.360520421784551
G10035286153735,20.212904,0.379254,0.076849,0.24245,0.014975,Gaia DR3 5761457838833713792,131.26651,-4.700749,Orbital,799.5150651684245,0.6514625168462929,,,,,,,,6257.14,38.18,4.137,0.057,-0.385,0.036,-4.22584,,,11.85,0.294,11.816,0.033,12.937351,0.6526365,1.0581606612260983,0.0202147674295717,1.4129081985552434,0.101034444772282,2.7546544051336395,0.4083970707576287
G10035324005800,13.43184,0.24087,0.11771,0.215485,0.022937,Gaia DR3 5761449936093900544,131.32002,-4.887426,SB1,856.3798207167243,0.0309130641969282,7.873877612719932,,,,,,,4937.13,22.04,2.69,0.031,-0.429,0.019,-4.83832,,,9.167,0.032,9.244,0.019,11.344691,1.1455679,1.3448294327098618,0.1031099398882375,8.539829138056772,0.5688766761025024,38.84502856772295,5.427769125290308
G10035471804759,36.526905,0.103967,0.042426,0.188809,0.008267,Gaia DR3 5762061333278509184,132.608033,-3.336824,Orbital,593.64147697723,0.34515352171126,,,,,,,,5892.52,21.81,4.133,0.03,0.071,0.017,-5.69532,,,,,,,14.131631,0.7845316,1.0989664700852182,0.0199716005194261,1.483570708024599,0.0603315050675182,2.39473320248134,0.2195751896396584
G10035517377630,28.394722,0.25834,0.054141,0.218889,0.01055,Gaia DR3 5762038273597771648,132.4813,-3.357513,Orbital,990.74019601064,0.2126931314178806,,,,,,,,6177.185,76.93,4.25,0.125,-0.477,0.08,-4.47478,,,,,,,13.47516,0.68295574,0.9567007740982564,0.0405637670434391,1.1241679833130631,0.1604655410793002,1.653839773510299,0.4883061839276946
G10035557077092,9.424663,0.262914,0.161508,0.219781,0.031471,Gaia DR3 5762131736382143360,131.55305,-3.622579,Orbital,1165.029059489823,0.4279823639780691,,,,,,,,6373.44,63.81,4.231,0.102,-0.098,0.068,-4.41536,,,,,,,13.425556,0.6503887,1.1909288943810576,0.0540956169333426,1.3103639149123871,0.1697527562475608,2.547097985227564,0.6682801907177123
G10035612271777,42.545258,0.417996,0.036491,0.249999,0.00711,Gaia DR3 5761924993836432000,132.170323,-3.85493,SB1,1.0725278016649225,0.2189714445186498,13.75774768807208,,,,,,,6513.57,27.65,4.235,0.038,-0.14,0.021,-4.12316,0.04648,,11.358,0.214,11.333,0.026,12.518678,0.64342785,1.1991769302424855,0.0255208218950921,1.356302570928726,0.0852682506820626,2.961145541433265,0.3673535383731782
