wavelength_470712060,flux_470712060,wavlength_139202084,flux_139202084,wavelength_392605166,flux_392605166,wavelength_455405241,flux_455405241
3794.5142,1.0,3793.6292,1.0,3794.3562,1.0,3795.1877,1.0
3795.3882,1.0,3794.5032,1.0,3795.2302,1.0,3796.0618,1.0
3796.2625,1.0,3795.3774,1.0,3796.1045,1.0,3796.936,1.0
3797.137,1.0,3796.252,1.0,3796.979,1.0,3797.8105,1.0
3803.2644,0.9413901,3797.1267,1.0,3797.8538,1.0,3798.6853,1.0
3804.1404,0.95452225,3798.0017,1.0,3798.7288,1.0,3799.5603,0.73628557
3805.0168,0.92944556,3798.8767,0.6156255,3799.6038,0.72355664,3800.4353,0.7981745
3805.8933,0.89128435,3799.7522,0.67385286,3800.4792,0.7925867,3801.3108,0.88487977
3806.77,0.9226817,3800.6277,0.74101496,3801.3547,0.8624819,3802.1863,0.9300687
3807.647,0.9481042,3801.5034,0.7831613,3802.2305,0.9134217,3803.062,0.9816976
3808.5242,0.9441021,3802.3794,0.8032201,3803.1064,0.96803445,3803.938,1.0175662
3809.4014,0.9987931,3803.2554,0.82007605,3803.9824,0.9580922,3804.814,0.9617683
3810.279,1.0215327,3804.1318,0.8789634,3804.859,0.96788245,3805.6904,0.96078974
3811.1567,0.9286348,3805.0083,0.80262196,3805.7354,0.9594322,3806.567,0.9513043
3812.0347,1.076441,3805.885,0.84380084,3806.612,0.94052416,3807.4436,0.9716127
3812.9128,0.84986395,3806.762,0.8812269,3807.489,0.95640993,3808.3206,1.0129495
3813.791,0.7791322,3807.6392,0.8465539,3808.3662,1.0205023,3809.1978,1.0415467
3814.6697,0.7522444,3808.5164,0.91012233,3809.2434,1.0339358,3810.075,1.0541717
3815.5483,0.73649085,3809.394,0.85760725,3810.121,1.0589536,3810.9526,1.0441637
3816.4272,0.7807059,3810.2717,0.89232165,3810.9988,1.0350618,3811.8303,0.99036
3817.3064,0.81315154,3811.1497,0.88349307,3811.8767,1.0137137,3812.7083,0.92945266
3818.1858,0.8543515,3812.0278,0.8531631,3812.755,0.9658999,3813.5864,0.87667495
3819.0654,0.78798974,3812.906,0.8121847,3813.633,0.915791,3814.4646,0.83203876
3819.9453,0.72892976,3813.7847,0.81301314,3814.5117,0.90735954,3815.3433,0.8331224
3820.8252,0.7857251,3814.6633,0.7622905,3815.3904,0.9105932,3816.222,0.87031925
3821.7053,0.767926,3815.5422,0.77728724,3816.2693,0.9363769,3817.1008,0.9208911
3822.5857,0.8169926,3816.4214,0.7635379,3817.1484,0.98201585,3817.98,0.9394688
3823.4663,0.7239245,3817.3008,0.7996914,3818.0278,0.96907204,3818.8594,0.88602275
3824.3472,0.73689,3818.1804,0.810394,3818.9075,0.93725127,3819.739,0.8199207
3825.228,0.66533476,3819.0603,0.83924204,3819.7874,0.9042009,3820.619,0.80810183
3826.1091,0.6522797,3819.9402,0.79466766,3820.6672,0.8972772,3821.4988,0.83876336
3826.9907,0.6151548,3820.8203,0.7424557,3821.5474,0.91405904,3822.379,0.8801081
3827.872,0.6309185,3821.7007,0.7538295,3822.4277,0.91893345,3823.2593,0.8741194
